symbol,shortName,exchange,bucket,marketCap,sector_name,industry_name
ELCPF,EDP-ENERGIAS DE PORTUGAL SA,PNK,large,20256215040.0,Utilities,Utilities - Diversified
FOJCF,Fortum Oyj,PNK,large,20251258880.0,Utilities,Utilities - Renewable
SPXCF,Singapore Exchange Ltd.,OQX,large,20228939776.0,Financial Services,Financial Data & Stock Exchanges
AMCCF,AMCOR PLC CDI 1:1,PNK,large,20227624960.0,Consumer Cyclical,Packaging & Containers
PZAKY,POWSZECHNY ZAKLAD UBEZPIECZEN S,PNK,large,20219883520.0,Financial Services,Insurance - Property & Casualty
TRUMF,Terumo Corp.,PNK,large,20193886208.0,Healthcare,Medical Instruments & Supplies
BDRFF,Beiersdorf  AG,PNK,large,20161003520.0,Consumer Defensive,Household & Personal Products
SHWDY,Resonac Holdings Corporation,PNK,large,20127176704.0,Basic Materials,Chemicals
ASBFY,Associated British Foods plc,PNK,large,20081047552.0,Consumer Defensive,Packaged Foods
SURYY,SUMITOMO REALTY & DEVELOPMENT C,PNK,large,20060946432.0,Real Estate,Real Estate Services
MZTFF,MIZRAHI TEFAHOT BANK LTD,PNK,large,20052045824.0,Financial Services,Banks - Regional
WRTBF,WARTSILA OYJ ABP,PNK,large,20044572672.0,Industrials,Specialty Industrial Machinery
WIT,Wipro Limited,NYQ,large,19982829568.0,Technology,Information Technology Services
KGSPY,Kingspan Group plc.,PNK,large,19975358464.0,Industrials,Building Products & Equipment
WRTBY,Wartsila Corp.,PNK,large,19926663168.0,Industrials,Specialty Industrial Machinery
EVMNY,Evolution Mining Ltd.,PNK,large,19912861696.0,Basic Materials,Gold
FYGGY,Fuyao Glass Ind Group Co,PNK,large,19912343552.0,Consumer Cyclical,Auto Parts
CAHPF,Evolution Mining Ltd.,PNK,large,19911892992.0,Basic Materials,Gold
YAHOF,LY CORPORATION,PNK,large,19891599360.0,Consumer Cyclical,Internet Retail
KUBTY,Kubota Corp.,PNK,large,19875870720.0,Industrials,Farm & Heavy Construction Machinery
SRTOY,Sartorius Stedim Biotech,PNK,large,19835564032.0,Healthcare,Medical Instruments & Supplies
TISCF,Taisei Corp.,PNK,large,19821907968.0,Industrials,Engineering & Construction
FOJCY,Fortum Oyj,PNK,large,19784679424.0,Utilities,Utilities - Renewable
IHICF,IHI CORPORATION,PNK,large,19719012352.0,Industrials,Specialty Industrial Machinery
YAGOY,,PNK,large,19719004160.0,Technology,Electronic Components
KGSPF,Kingspan Group plc.,PNK,large,19716386816.0,Industrials,Building Products & Equipment
CABHF,CARLSBERG AS,PNK,large,19706857472.0,Consumer Defensive,Beverages - Brewers
KEYRY,,PNK,large,19666440192.0,Energy,Oil & Gas Midstream
HLMAF,Halma PLC,PNK,large,19655510016.0,Industrials,Conglomerates
SDMHF,Sartorius Stedim Biotech,PNK,large,19650732032.0,Healthcare,Medical Instruments & Supplies
EMBVF,Arca Continental SAB de CV,PNK,large,19631099904.0,Consumer Defensive,Beverages - Non-Alcoholic
BNCDY,Banca Mediolanum SPA,PNK,large,19591852032.0,Financial Services,Banks - Regional
BKRKF,Bank Rakyat,PNK,large,19574738944.0,Financial Services,Banks - Regional
FIGIF,FUYAO GLASS INDUSTRY GROUP CO. ,PNK,large,19573078016.0,Consumer Cyclical,Auto Parts
BMBLF,"Brambles, Ltd.",PNK,large,19541284864.0,Industrials,Specialty Business Services
BNDSY,Banco De Sabadell SA,PNK,large,19526852608.0,Financial Services,Banks - Diversified
ETTYF,ESSITY AB,PNK,large,19505672192.0,Consumer Defensive,Household & Personal Products
GMAB,Genmab A/S,NMS,large,19485392896.0,Healthcare,Biotechnology
CABGY,Carlsberg AS,PNK,large,19449120768.0,Consumer Defensive,Beverages - Brewers
GNMSF,Genmab A/S,PNK,large,19423662080.0,Healthcare,Biotechnology
HALMY,Halma PLC,PNK,large,19414550528.0,Industrials,Conglomerates
YPF,YPF Sociedad Anonima,NYQ,large,19276957696.0,Energy,Oil & Gas Integrated
BPCGY,Banco Comercial Portugues S.A.,PNK,large,19267373056.0,Financial Services,Banks - Regional
TELNF,Telenor ASA,OQX,large,19264831488.0,Communication Services,Telecom Services
KPCPF,KASIKORNBANK Public Co. Ltd.,PNK,large,19262406656.0,Financial Services,Banks - Regional
IVBIY,Innovent Biologics Inc.,PNK,large,19228471296.0,Healthcare,Biotechnology
BXBLY,"Brambles, Ltd.",PNK,large,19194003456.0,Industrials,Specialty Business Services
VIV,Telefonica Brasil S.A.,NYQ,large,19189616640.0,Communication Services,Telecom Services
TELNY,Telenor ASA,OQX,large,19183144960.0,Communication Services,Telecom Services
SIELF,SHANGHAI ELECTRIC HOLDING GROUP,PNK,large,19182405632.0,Industrials,Specialty Industrial Machinery
WLMIY,"Wilmar International, Ltd.",PNK,large,19178184704.0,Consumer Defensive,Packaged Foods
VTTGF,VAT Group AG,PNK,large,19174510592.0,Industrials,Specialty Industrial Machinery
KNBHF,KNORR BREMSE AG,PNK,large,19136051200.0,Consumer Cyclical,Auto Parts
CABJF,Carlsberg AS,PNK,large,19118690304.0,Consumer Defensive,Beverages - Brewers
JBAXY,Julius Baer Group Ltd.,PNK,large,19094900736.0,Financial Services,Asset Management
WXIBF,Wuxi Biologics (Cayman) Inc,PNK,large,19094056960.0,Healthcare,Biotechnology
GPOVF,Grupo Carso S.A. de CV,PNK,large,19082196992.0,Industrials,Conglomerates
NHYKF,Norsk Hydro ASA,OQX,large,19020890112.0,Basic Materials,Aluminum
KNRRY,Knorr-Bremse,PNK,large,18995808256.0,Consumer Cyclical,Auto Parts
HUATF,HUATAI SECURITIES CO LTD,PNK,large,18956412928.0,Financial Services,Capital Markets
VDMCY,Vodacom Group Ltd.,PNK,large,18931273728.0,Communication Services,Telecom Services
EBCOF,EBARA CORP,PNK,large,18929541120.0,Industrials,Specialty Industrial Machinery
WLMIF,"Wilmar International, Ltd.",PNK,large,18915983360.0,Consumer Defensive,Packaged Foods
RCIAF,"Rogers Communications, Inc.",PNK,large,18880874496.0,Communication Services,Telecom Services
KAOCF,Kao Corp.,PNK,large,18864205824.0,Consumer Defensive,Household & Personal Products
NHYDY,Norsk Hydro ASA,OQX,large,18843860992.0,Basic Materials,Aluminum
JBARF,JULIUS BAER GRUPPE AG,PNK,large,18825351168.0,Financial Services,Asset Management
MGA,"Magna International, Inc.",NYQ,large,18822696960.0,Consumer Cyclical,Auto Parts
BPCGF,BANCO COMERCIAL PORTUGUES S.A.,PNK,large,18818953216.0,Financial Services,Banks - Regional
BEKE,KE Holdings Inc,NYQ,large,18810544128.0,Real Estate,Real Estate Services
BESVF,BE Semiconductor Industries N.V,PNK,large,18762881024.0,Technology,Semiconductor Equipment & Materials
SOAGY,Sartorius AG,PNK,large,18758053888.0,Healthcare,Medical Instruments & Supplies
VNNVF,VONOVIA SE,PNK,large,18750416896.0,Real Estate,Real Estate Services
JMHLY,Jardine Matheson Holdings Ltd.,PNK,large,18746275840.0,Industrials,Conglomerates
TIIAY,Telecom Italia S.p.A.,PNK,large,18730020864.0,Communication Services,Telecom Services
STOSF,Santos Ltd.,PNK,large,18707173376.0,Energy,Oil & Gas E&P
YZOFF,Yangtze Optical Fibre & Cable J,PNK,large,18706558976.0,Technology,Communication Equipment
KGTFF,"Krung Thai Bank Public Co., Ltd",PNK,large,18690961408.0,Financial Services,Banks - Regional
SBS,Companhia de saneamento Basico ,NYQ,large,18673707008.0,Utilities,Utilities - Regulated Water
JDHIF,JD HEALTH INTL INC.,PNK,large,18658756608.0,Healthcare,Pharmaceutical Retailers
SINGY,Singapore Airlines Ltd.,PNK,large,18653440000.0,Industrials,Airlines
LAAOF,Li Auto Inc.,PNK,large,18638981120.0,Consumer Cyclical,Auto Manufacturers
RCI,"Rogers Communication, Inc.",NYQ,large,18621566976.0,Communication Services,Telecom Services
SINGF,Singapore Airlines Ltd.,PNK,large,18606135296.0,Industrials,Airlines
CAOVY,China Overseas Land & Investmen,PNK,large,18595356672.0,Real Estate,Real Estate - Development
EUXTF,EURONEXT,PNK,large,18591555584.0,Financial Services,Financial Data & Stock Exchanges
IHICY,IHI Corp,PNK,large,18574036992.0,Industrials,Specialty Industrial Machinery
ERNXY,Euronext NV,PNK,large,18561634304.0,Financial Services,Financial Data & Stock Exchanges
EURBF,EUROBANK S A,PNK,large,18550538240.0,Financial Services,Banks - Regional
KPCPY,KASIKORNBANK Public Co. Ltd.,PNK,large,18539988992.0,Financial Services,Banks - Regional
PEXNY,PTT Exploration & Production Pu,PNK,large,18527633408.0,Energy,Oil & Gas E&P
GXYEF,"Galaxy Entertainment Group, Ltd",PNK,large,18524188672.0,Consumer Cyclical,Resorts & Casinos
NATKY,NATIONAL ATOMIC CO KAZATOMPROM ,PNK,large,18458228736.0,Energy,Uranium
TIAOF,TELECOM ITALIA SPA,PNK,large,18452697088.0,Communication Services,Telecom Services
PBLOF,PUBLIC BANK BERHAD,PNK,large,18440157184.0,Financial Services,Banks - Regional
GXYYY,"Galaxy Entertainment Group, Ltd",PNK,large,18419087360.0,Consumer Cyclical,Resorts & Casinos
CMSQF,Computershare Ltd.,PNK,large,18410059776.0,Financial Services,Capital Markets
JARLF,Jardine Matheson Holdings Ltd.,PNK,large,18384865280.0,Industrials,Conglomerates
WSPOF,WSP Global Inc,PNK,large,18365249536.0,Industrials,Engineering & Construction
BKPKF,BANK POLSKA KASA OPIEKI SA,PNK,large,18359777280.0,Financial Services,Banks - Regional
GLPEY,"Galp Energia, SA",PNK,large,18330816512.0,Energy,Oil & Gas Integrated
TLSNF,Telia Company AB,PNK,large,18284308480.0,Communication Services,Telecom Services
BNDSF,Banco De Sabadell SA,PNK,large,18263209984.0,Financial Services,Banks - Diversified
GLPEF,"Galp Energia, SA",PNK,large,18250205184.0,Energy,Oil & Gas Integrated
IDTVF,INDUSTRIVARDEN AB,PNK,large,18096572416.0,Financial Services,Asset Management
CAOVF,CHINA OVERSEAS LAND & INVESTMNT,PNK,large,18059057152.0,Real Estate,Real Estate - Development
AGESY,ageas SA/NV,PNK,large,18054254592.0,Financial Services,Insurance - Diversified
DWAHY,Daiwa House Industry Co. Ltd.,PNK,large,18047752192.0,Real Estate,Real Estate - Development
NPPHY,"Nippon Paint Holdings Co., Ltd.",PNK,large,18045388800.0,Basic Materials,Specialty Chemicals
CCOZF,"China Coal Energy Co., Ltd.",PNK,large,18031781888.0,Energy,Thermal Coal
ALMMF,Aluminum Corporation of China L,PNK,large,18012719104.0,Basic Materials,Aluminum
WTKWY,Wolters Kluwer N.V.,PNK,large,18002241536.0,Industrials,Specialty Business Services
TLSNY,Telia Company AB,PNK,large,17989398528.0,Communication Services,Telecom Services
ZTO,ZTO Express (Cayman) Inc.,NYQ,large,17948192768.0,Industrials,Integrated Freight & Logistics
KKPNY,Royal KPN NV,PNK,large,17946523648.0,Communication Services,Telecom Services
CVCCF,CVC CAPITAL PARTNERS PLC,PNK,large,17945759744.0,Financial Services,Asset Management
CGNWF,CGN POWER CO LTD,PNK,large,17927006208.0,Utilities,Utilities - Independent Power Producers
KEY-PK,"KeyCorp Depositary Shares, each",NYQ,large,17891952640.0,Financial Services,Banks - Regional
URMCY,Unibail-Rodamco SE,PNK,large,17885710336.0,Real Estate,REIT - Retail
KKPNF,Royal KPN NV,PNK,large,17869830144.0,Communication Services,Telecom Services
SHWDF,Resonac Holdings Corporation,PNK,large,17861263360.0,Basic Materials,Chemicals
KAJMF,Kajima Corp.,PNK,large,17769682944.0,Industrials,Engineering & Construction
SUVPF,Sartorius AG,PNK,large,17757487104.0,Healthcare,Medical Instruments & Supplies
EDRVY,EDP RENOVAVEIS SA UNSP ADR EA R,PNK,large,17681076224.0,Utilities,Utilities - Renewable
WOLTF,Wolters Kluwer N.V.,PNK,large,17668040704.0,Industrials,Specialty Business Services
RBA,"RB Global, Inc.",NYQ,large,17646336000.0,Industrials,Specialty Business Services
WF,Woori Financial Group Inc.,NYQ,large,17623318528.0,Financial Services,Banks - Regional
CMSQY,Computershare Ltd.,PNK,large,17571399680.0,Financial Services,Capital Markets
FNBKY,Finecobank Banca Fineco SPA,PNK,large,17528619008.0,Financial Services,Banks - Regional
UNBLF,Unibail-Rodamco SE,PNK,large,17523804160.0,Real Estate,REIT - Retail
PKX,POSCO Holdings Inc.,NYQ,large,17474449408.0,Basic Materials,Steel
SSLZY,Santos Ltd.,PNK,large,17473017856.0,Energy,Oil & Gas E&P
KBDCF,KINGBOARD HOLDINGS LTD,PNK,large,17387618304.0,Industrials,Conglomerates
NCBDF,"Bandai Namco Holdings, Inc.",PNK,large,17387431936.0,Consumer Cyclical,Leisure
SEGXF,Segro Plc REIT,PNK,large,17385730048.0,Real Estate,REIT - Industrial
DQJCF,PAN PACIFIC INTL HLDGS CORP,PNK,large,17368868864.0,Consumer Defensive,Discount Stores
SONVF,Sonova Holding AG,PNK,large,17359806464.0,Healthcare,Medical Devices
KAEPY,"Kansai Electric Power Co., Inc.",PNK,large,17357002752.0,Utilities,Utilities - Renewable
HALFF,Hal Trust,PNK,large,17354217472.0,Financial Services,Asset Management
VODAF,VODACOM GROUP LIMITED,PNK,large,17347227648.0,Communication Services,Telecom Services
TYNPF,Nippon Sanso Holdings Corp.,PNK,large,17331447808.0,Basic Materials,Chemicals
SONVY,Sonova Holding AG,PNK,large,17322381312.0,Healthcare,Medical Devices
FUWAY,"Furukawa Electric Co., Ltd.",PNK,large,17320083456.0,Industrials,Electrical Equipment & Parts
AZRGF,AZRIELI GROUP,PNK,large,17307840512.0,Real Estate,Real Estate Services
NRILY,Nomura Research Institute Ltd.,PNK,large,17272262656.0,Technology,Information Technology Services
DQJCY,Pan Pac Intl Hldgs Corp.,PNK,large,17249290240.0,Consumer Defensive,Discount Stores
STGPF,Scentre Group,PNK,large,17226891264.0,Real Estate,REIT - Retail
FCBBF,Finecobank Banca Fineco SPA,PNK,large,17223325696.0,Financial Services,Banks - Regional
KSPI,Joint Stock Company Kaspi.kz - ,NMS,large,17159462912.0,Technology,Software - Infrastructure
ASUUY,ASUSTEK COMPUTER INC GDR EACH R,PNK,large,17154724864.0,Technology,Computer Hardware
AARTY,AIRTEL AFRICA PLC UNSPON ADS EA,PNK,large,17104693248.0,Communication Services,Telecom Services
KPCUF,KASIKORNBANK PUBLIC COMPANY LIM,PNK,large,17082852352.0,Financial Services,Banks - Regional
EDRVF,EDP Renovaveis SA,PNK,large,17082347520.0,Utilities,Utilities - Renewable
KUBTF,Kubota Corp.,PNK,large,17062523904.0,Industrials,Farm & Heavy Construction Machinery
NBGRY,NATIONAL BK GREECE S A,PNK,large,17060557824.0,Financial Services,Banks - Regional
BKZHF,SANTANDER BANK POLSKA SA,PNK,large,17057644544.0,Financial Services,Banks - Regional
ZTCOF,Zte Corp.,PNK,large,17049479168.0,Technology,Communication Equipment
KONMY,Konami Group Corporation,PNK,large,17042160640.0,Communication Services,Electronic Gaming & Multimedia
CXMSF,Cemex S.A.B de C.V.,PNK,large,17026838528.0,Basic Materials,Building Materials
KGTFY,"Krung Thai Bank Public Co., Ltd",PNK,large,16980914176.0,Financial Services,Banks - Regional
PUIGF,PUIG BRANDS S A,PNK,large,16971138048.0,Consumer Defensive,Household & Personal Products
HNGKY,Hongkong Land Holdings Ltd.,PNK,large,16965595136.0,Real Estate,Real Estate - Development
HLDCY,"Henderson Land Development Co.,",PNK,large,16944855040.0,Real Estate,Real Estate - Diversified
SOMLY,"Secom Co., Ltd.",PNK,large,16919662592.0,Industrials,Security & Protection Services
SWOBY,Swedish Orphan Biovitrum AB,PNK,large,16919391232.0,Healthcare,Drug Manufacturers - Specialty & Generic
ELIAF,ELIA GROUP,PNK,large,16889997312.0,Utilities,Utilities - Regulated Electric
KNAMF,KONAMI GROUP CORP.,PNK,large,16878137344.0,Communication Services,Electronic Gaming & Multimedia
KAEPF,"Kansai Electric Power Co., Inc.",PNK,large,16877958144.0,Utilities,Utilities - Renewable
BKNIY,"Bankinter, S.A.",PNK,large,16876969984.0,Financial Services,Banks - Regional
NBGIF,National Bank of Greece S.A.,PNK,large,16853817344.0,Financial Services,Banks - Regional
BIOVF,SWEDISH ORPHAN BIOVITRUM AB,PNK,large,16809026560.0,Healthcare,Drug Manufacturers - Specialty & Generic
ARNNY,ASR Nederland N.V.,PNK,large,16790166528.0,Financial Services,Insurance - Diversified
HKHGF,HONGKONG LAND HOLDINGS LTD,PNK,large,16773773312.0,Real Estate,Real Estate - Development
NPXYY,Nippon Sanso Holdings Corp.,PNK,large,16664852480.0,Basic Materials,Chemicals
EBCOY,Ebara Corp.,PNK,large,16657995776.0,Industrials,Specialty Industrial Machinery
LTM,LATAM Airlines Group S.A.,NYQ,large,16604436480.0,Industrials,Airlines
MPFRF,Mapfre SA,PNK,large,16574331904.0,Financial Services,Insurance - Diversified
BSAC,Banco Santander - Chile,NYQ,large,16564414464.0,Financial Services,Banks - Regional
TRMLF,Tourmaline Oil Corp.,PNK,large,16488370176.0,Energy,Oil & Gas E&P
NURAF,Nomura Research Institute Ltd.,PNK,large,16399133696.0,Technology,Information Technology Services
CX,"Cemex, S.A.B. de C.V. Sponsored",NYQ,large,16348651520.0,Basic Materials,Building Materials
RTRZY,,PNK,large,16342837248.0,Industrials,Specialty Industrial Machinery
AAFRF,Airtel Africa Plc,PNK,large,16340442112.0,Communication Services,Telecom Services
RPGRF,REA Group Ltd,PNK,large,16285502464.0,Communication Services,Internet Content & Information
IVTBF,INVESTMENT AB LATOUR (PUBL),PNK,large,16277042176.0,Industrials,Conglomerates
KGBLY,Kingboard Laminates Holdings Lt,PNK,large,16261482496.0,Technology,Electronic Components
DSEEY,"Daiwa Securities Group, Inc.",PNK,large,16246253568.0,Financial Services,Capital Markets
JHIUF,James Hardie Industries plc,PNK,large,16225604608.0,Basic Materials,Building Materials
HOKCF,HONGKONG & CHINA GAS CO. LTD.,PNK,large,16210762752.0,Utilities,Utilities - Regulated Gas
BAWAY,BAWAG Group AG,PNK,large,16208267264.0,Financial Services,Banks - Regional
BEP,Brookfield Renewable Partners L,NYQ,large,16184777728.0,Utilities,Utilities - Renewable
SCHYF,Sands China Ltd,PNK,large,16134007808.0,Consumer Cyclical,Resorts & Casinos
RPGRY,REA Group Ltd,PNK,large,16121927680.0,Communication Services,Internet Content & Information
BBSEY,BB Seguridade Participacoes SA,PNK,large,16112363520.0,Financial Services,Insurance - Diversified
SWPFF,Swire Properties Ltd.,PNK,large,16108852224.0,Real Estate,Real Estate Services
CTTAF,Continental AG,PNK,large,16106082304.0,Consumer Cyclical,Auto Parts
DWAHF,DAIWA HOUSE INDUSTRY CO,PNK,large,16103005184.0,Real Estate,Real Estate - Development
SOMLF,"Secom Co., Ltd.",PNK,large,16057641984.0,Industrials,Security & Protection Services
KEP,Korea Electric Power Corporatio,NYQ,large,16036262912.0,Utilities,Utilities - Regulated Electric
PWZYF,POWSZECHNY ZAKLAD UBEZPIECZEN S,PNK,large,16028971008.0,Financial Services,Insurance - Property & Casualty
MONRF,Moncler S.P.A.,PNK,large,16020195328.0,Consumer Cyclical,Apparel Manufacturing
BNMDF,BANCA MEDIOLANUM,PNK,large,16006172672.0,Financial Services,Banks - Regional
OUKPY,Metso OYJ,PNK,large,15966028800.0,Industrials,Farm & Heavy Construction Machinery
LUGDF,Lundin Gold Inc.,OQX,large,15963379712.0,Basic Materials,Gold
MONRY,Moncler S.P.A.,PNK,large,15911399424.0,Consumer Cyclical,Apparel Manufacturing
IFJPY,Informa Plc.,PNK,large,15905424384.0,Communication Services,Publishing
ROXIF,Caspian Sunrise PLC,PNK,large,15872829440.0,Energy,Oil & Gas Integrated
DIDIY,DiDi Global Inc.,PNK,large,15866458112.0,Technology,Software - Application
KPELF,Keppel Corporation Limited,PNK,large,15840189440.0,Industrials,Conglomerates
PETFF,PTT PUBLIC COMPANY,PNK,large,15829835776.0,Energy,Oil & Gas Integrated
SOUHY,South32 Ltd.,PNK,large,15829154816.0,Basic Materials,Other Industrial Metals & Mining
JDHIY,JD HEALTH INTERNATIONAL INC UNS,PNK,large,15788178432.0,Healthcare,Pharmaceutical Retailers
CJEWY,Chow Tai Fook Jewellery Group L,PNK,large,15786129408.0,Consumer Cyclical,Luxury Goods
CTTAY,Continental AG,PNK,large,15780471808.0,Consumer Cyclical,Auto Parts
TLKMF,PT Telekomunick,PNK,large,15772949504.0,Communication Services,Telecom Services
JDEPY,JDE Peet's NV,PNK,large,15756772352.0,Consumer Defensive,Packaged Foods
NPNYY,Nippon Yusen Kabushiki Kaisha,PNK,large,15738690560.0,Industrials,Marine Shipping
HLDVF,"Henderson Land Development Co.,",PNK,large,15734507520.0,Real Estate,Real Estate - Diversified
SMMYY,"Sumitomo Metal Mining Co., Ltd.",PNK,large,15711631360.0,Basic Materials,Other Industrial Metals & Mining
KWHIF,Kawasaki Heavy Industries Ltd.,PNK,large,15708832768.0,Industrials,Conglomerates
YZCAY,YANKUANG ENERGY GROUP CO LTD.,OQX,large,15667525632.0,Energy,Thermal Coal
AMIGY,Admiral Group Plc.,PNK,large,15656487936.0,Financial Services,Insurance - Property & Casualty
GFSEF,,PNK,large,15649690624.0,Financial Services,Capital Markets
SCRNY,,PNK,large,15628109824.0,Technology,Semiconductor Equipment & Materials
BDNNY,Boliden AB,PNK,large,15623614464.0,Basic Materials,Other Industrial Metals & Mining
EMA,Emera Incorporated,NYQ,large,15609363456.0,Utilities,Utilities - Regulated Electric
TME,Tencent Music Entertainment Gro,NYQ,large,15603219456.0,Communication Services,Internet Content & Information
ASRRF,ASR NEDERLAND NV,PNK,large,15593499648.0,Financial Services,Insurance - Diversified
KNBWY,"Kirin Holdings Co., Ltd.",PNK,large,15539378176.0,Consumer Defensive,Beverages - Brewers
HGKGY,Power Assets Holdings Ltd.,PNK,large,15535756288.0,Utilities,Utilities - Independent Power Producers
NPCPF,"Nippon Paint Holdings Co., Ltd.",PNK,large,15527615488.0,Basic Materials,Specialty Chemicals
KPELY,Keppel Corporation Limited,PNK,large,15516185600.0,Industrials,Conglomerates
KWHIY,Kawasaki Heavy Industries Ltd.,PNK,large,15499266048.0,Industrials,Conglomerates
GIB,CGI Inc.,NYQ,large,15476815872.0,Technology,Information Technology Services
CPAMF,CAPITALAND INTEGRATED COML TR M,PNK,large,15444306944.0,Real Estate,REIT - Retail
NWSA,News Corporation,NMS,large,15420626944.0,Communication Services,Entertainment
TOITF,TOPICUS COM INC.,PNK,large,15418166272.0,Technology,Software - Infrastructure
PMDIY,PRO MEDICUS UNSPON ADS EACH REP,PNK,large,15414543360.0,Healthcare,Health Information Services
DINRF,"Screen Holdings Co., Ltd",PNK,large,15408765952.0,Technology,Semiconductor Equipment & Materials
LBGUF,LE Lundbergfoeretagen AB,PNK,large,15376000000.0,Industrials,Conglomerates
SKCBY,Shinkin Central Bank,PNK,large,15370011648.0,Financial Services,Banks - Regional
CLPBY,Coloplast AS,PNK,large,15324941312.0,Healthcare,Medical Instruments & Supplies
IPSEY,Ipsen S.A.,PNK,large,15311865856.0,Healthcare,Drug Manufacturers - Specialty & Generic
TU,Telus Corporation,NYQ,large,15309000704.0,Communication Services,Telecom Services
PTXLF,PTT EXPLORATION & PRODUCTION PU,PNK,large,15286363136.0,Energy,Oil & Gas E&P
BMBOY,Grupo Bimbo S.A.B. de C.V.,OQX,large,15273290752.0,Consumer Defensive,Packaged Foods
KGHPF,KGHM Polska Miedz S.A.,PNK,large,15244000256.0,Basic Materials,Copper
KRYAY,Kerry Group plc,OID,large,15241445376.0,Consumer Defensive,Packaged Foods
BWAGF,BAWAG GROUP AG,PNK,large,15241436160.0,Financial Services,Banks - Regional
LFCBY,Lifco AB,PNK,large,15225330688.0,Industrials,Conglomerates
LOGI,Logitech International S.A. - R,NMS,large,15225216000.0,Technology,Computer Hardware
SSSGY,Sartorius AG,PNK,large,15168197632.0,Healthcare,Medical Instruments & Supplies
SGIOY,Shionogi & Co. Ltd.,PNK,large,15147362304.0,Healthcare,Drug Manufacturers - Specialty & Generic
CLPBF,Coloplast AS,PNK,large,15132623872.0,Healthcare,Medical Instruments & Supplies
EVGGF,Evolution AB,PNK,large,15125850112.0,Consumer Cyclical,Gambling
GRBMF,Grupo Bimbo S.A.B. de C.V.,OQX,large,15122920448.0,Consumer Defensive,Packaged Foods
IHHHF,IHH HEALTHCARE BHD,PNK,large,15109822464.0,Healthcare,Medical Care Facilities
GJNSY,Gjensidige Forsikring Asa,PNK,large,15068918784.0,Financial Services,Insurance - Property & Casualty
ASBRF,Asahi Group Holdings Ltd.,PNK,large,15052900352.0,Consumer Defensive,Beverages - Brewers
BLIDF,BOLIDEN AB,PNK,large,15021615104.0,Basic Materials,Other Industrial Metals & Mining
KRYAF,Kerry Group plc,OID,large,14979210240.0,Consumer Defensive,Packaged Foods
GRAB,Grab Holdings Limited,NMS,large,14929140736.0,Technology,Software - Application
HOKCY,"Hong Kong & China Gas Co., Ltd.",PNK,large,14927896576.0,Utilities,Utilities - Regulated Gas
EFGSF,Eiffage SA,PNK,large,14921479168.0,Industrials,Engineering & Construction
GFL,GFL Environmental Inc. Subordin,NYQ,large,14911988736.0,Industrials,Waste Management
TGVSY,Tryg AS,PNK,large,14897446912.0,Financial Services,Insurance - Diversified
JRONF,JERONIMO MARTINS SGPS,PNK,large,14893891584.0,Consumer Defensive,Food Distribution
TLK,"PT Telekomunikasi Indonesia, Tb",NYQ,large,14885722112.0,Communication Services,Telecom Services
SGIOF,Shionogi & Co. Ltd.,PNK,large,14849521664.0,Healthcare,Drug Manufacturers - Specialty & Generic
SCHYY,Sands China Ltd,PNK,large,14848949248.0,Consumer Cyclical,Resorts & Casinos
NDEKY,Nitto Denko Corp.,PNK,large,14844595200.0,Basic Materials,Specialty Chemicals
LFABF,LIFCO AB,PNK,large,14839244800.0,Industrials,Conglomerates
NMPGY,"Navios Maritime Holdings, Inc.",PNK,large,14837192704.0,Industrials,Marine Shipping
OSCUF,"Japan Exchange Group, Inc.",PNK,large,14824018944.0,Financial Services,Financial Data & Stock Exchanges
GPFOF,GRUPO FINANCIERO INBURSA SAB DE,PNK,large,14815148032.0,Financial Services,Banks - Regional
SHKLY,Sinotruk Hong Kong Ltd.,PNK,large,14798924800.0,Industrials,Farm & Heavy Construction Machinery
IDDTF,INDUSTRIVARDEN AB,PNK,large,14792544256.0,Financial Services,Asset Management
KNBWF,"Kirin Holdings Co., Ltd.",PNK,large,14787909632.0,Consumer Defensive,Beverages - Brewers
IGIFF,IGM Financial Inc.,PNK,large,14765332480.0,Financial Services,Asset Management
EVVTY,Evolution AB,PNK,large,14762632192.0,Consumer Cyclical,Gambling
BLHWF,BELIMO HOLDING AG,PNK,large,14759962624.0,Industrials,Building Products & Equipment
JPXGY,"Japan Exchange Group, Inc.",PNK,large,14752603136.0,Financial Services,Financial Data & Stock Exchanges
TDHOY,"T&D Holdings, Inc.",PNK,large,14749829120.0,Financial Services,Insurance - Life
BOLSY,B3 SA Brasil Bolsa Balcao,PNK,large,14744980480.0,Financial Services,Financial Data & Stock Exchanges
SARTF,SARTORIUS AG,PNK,large,14694327296.0,Healthcare,Medical Instruments & Supplies
COVTY,Covestro AG,PNK,large,14692370432.0,Basic Materials,Specialty Chemicals
ASBHY,,PNK,large,14628669440.0,Consumer Defensive,Beverages - Brewers
KAJMY,Kajima Corp.,PNK,large,14625993728.0,Industrials,Engineering & Construction
OUKPF,METSO OYJ,PNK,large,14607921152.0,Industrials,Farm & Heavy Construction Machinery
LYTHF,Lytus Technologies Holdings PTV,PNK,large,14598749184.0,Technology,Software - Application
MPFRY,Mapfre SA,PNK,large,14594620416.0,Financial Services,Insurance - Diversified
HUNGF,"Huaneng Power International, In",PNK,large,14586976256.0,Utilities,Utilities - Independent Power Producers
SIELY,"Shanghai Electric Group Co., Lt",PNK,large,14584389632.0,Industrials,Specialty Industrial Machinery
